Code,Location,Year,"Avg. monthly wage, MX$","Total wages, MX$",Firms,Employment,Revealed comparative advantage,Distance,Opportunity gain
10,Durango,2004,,3663.860107421875,3,78.83000183105469,0.15967941284179688,0.8556031584739685,2.0049726963043213
10,Durango,2005,,2808.43994140625,2,59.08000183105469,0.12683218717575073,0.8599207997322083,1.3220148086547852
10,Durango,2006,,2477.7900390625,2,50.83000183105469,0.11160731315612793,0.8659030199050903,1.4289677143096924
10,Durango,2007,,2392.64990234375,2,46.91999816894531,0.1099502220749855,0.9093341827392578,1.4482998847961426
10,Durango,2008,,2242.139892578125,2,43,0.1029503121972084,0.9065396189689636,1.5554507970809937
10,Durango,2009,,2227.83984375,2,40.83000183105469,0.10619868338108063,0.9124882221221924,1.9348667860031128
10,Durango,2010,,4181.4599609375,3,69.58999633789062,0.17717191576957703,0.9099522233009338,1.862101674079895
10,Durango,2011,,3361.10009765625,3,52.94000244140625,0.13732710480690002,0.9356541037559509,1.428317904472351
10,Durango,2012,,1904.31005859375,2,30.579999923706055,0.0777246430516243,0.9356540441513062,1.3745033740997314
10,Durango,2013,,1845.530029296875,2,27.59000015258789,0.06767809391021729,0.9356541037559509,1.519174337387085
10,Durango,2014,,1952.6300048828125,2,26.260000228881836,0.06795231252908707,0.9382334351539612,1.7412090301513672
11,Guanajuato,2004,,129338.359375,20,978.5,0.5988887548446655,0.436204195022583,2.4847631454467773
11,Guanajuato,2005,,172958.140625,20,1288.510009765625,0.831881046295166,0.4530622959136963,2.49288010597229
11,Guanajuato,2006,,185620.78125,22,1274.239990234375,0.8277009129524231,0.5278857350349426,2.5027616024017334
11,Guanajuato,2007,,177628.625,23,1285.9400634765625,0.8845414519309998,0.42341428995132446,2.387342929840088
11,Guanajuato,2008,,179746.96875,23,1190.0899658203125,0.8362979888916016,0.4418901205062866,2.5046169757843018
11,Guanajuato,2009,,146955.75,24,907.5700073242188,0.6843830943107605,0.4774128794670105,2.3841352462768555
11,Guanajuato,2010,,171743.28125,25,996.9400024414062,0.7319796085357666,0.38325297832489014,2.22924542427063
11,Guanajuato,2011,,202189.984375,25,1188.25,0.8850410580635071,0.3296768069267273,2.1688692569732666
11,Guanajuato,2012,,225791.453125,27,1254.3199462890625,0.931358277797699,0.3296768069267273,2.143686056137085
11,Guanajuato,2013,,270031.5,26,1425.5899658203125,0.9685765504837036,0.30423980951309204,2.190746545791626
11,Guanajuato,2014,,363790.0625,29,1861.949951171875,1.2918312549591064,0.3321298360824585,0
12,Guerrero,2004,,539.77001953125,2,5.420000076293945,0.013526891358196735,0.9675279855728149,2.791238784790039
12,Guerrero,2005,,304.20001220703125,1,3.5799999237060547,0.009215627796947956,0.968498945236206,2.8003571033477783
