Code,Industry,Parent,Year,"Avg. monthly wage, MX$","Total wages, MX$",Employment,Firms,Revealed comparative advantage,Complexity,Distance
3391,"Manufacturing of nonelectronic medical, dental and laboratory equipment and disposable material, and ophthalmic goods manufacturing",Manufacturing & Construction,2014,,279838.125,1214.2099609375,86,0.20812667906284332,0.1432054191827774,0.6276309490203857
3399,Other manufacturing industries,Manufacturing & Construction,2014,,4317836,15884.5,497,0.9634362459182739,0.1226034015417099,0.45249050855636597
4311,Wholesale trade of groceries and food,Commerce,2014,,2921990.5,12809.76953125,690,0.8078219890594482,-0.023603076115250587,0.6661689281463623
4312,"Wholesale of beverages, ice and tobacco",Commerce,2014,,4061638.25,10170.75,132,1.8046458959579468,-0.034342385828495026,0.6404644846916199
4321,Wholesale trade of textile products and footwear,Commerce,2014,,1541547.75,8104.35986328125,439,1.8106286525726318,0.014216150157153606,0.21914345026016235
4331,Wholesale trade of pharmaceutical products,Commerce,2014,,3109212.75,6479.64990234375,211,1.9073262214660645,-0.024130763486027718,0.5535986423492432
4332,"Wholesale trade of perfumery products, cosmetics and jewelry",Commerce,2014,,167603.125,649.469970703125,56,1.0004373788833618,-0.003833022667095065,0.6555579900741577
4333,"Wholesale trade of records, toys and sporting goods",Commerce,2014,,72511.0390625,397.3299865722656,57,1.017282247543335,0.013120835646986961,0.4216740131378174
4334,"Wholesale trade of stationery supplies, books, magazines and newspapers",Commerce,2014,,259364.8125,921.219970703125,76,1.4122860431671143,-0.00019758580310735852,0.7372483015060425
4335,Wholesale trade of small and major household appliances,Commerce,2014,,218187.1875,518.5,37,1.6834319829940796,-0.0005124969175085425,0.533015251159668
4341,Wholesale trade of agricultural and forestry raw materials,Commerce,2014,,294049.03125,1351.18994140625,162,0.6781262159347534,-0.026460837572813034,0.6345601677894592
4342,Wholesale trade of industrial raw materials,Commerce,2014,,7136201,27426.609375,2321,1.0825363397598267,-0.005754503887146711,0.6392998695373535
