Code,Export,Parent,Year,"Exports, US$","Imports, US$",Revealed comparative advantage,Complexity,Distance,Opportunity gain
9508,Merry-go-rounds and other fairground amusements,Machinery,2014,52071.65625,21384,0.014692963100969791,2.4891602993011475,0.8930172100663185,1.1036301851272583
9601,"Worked ivory, tortoise-shell, etc.",Machinery,2014,98157.46875,0,0.28567156195640564,-2.3410205841064453,0.9047460928559303,-0.10265406221151352
9602,Worked vegetable or mineral carving material,Machinery,2014,4369.509765625,5324,0.0016585099510848522,-0.04711341857910156,0.8979918286204338,0.5318791270256042
9603,Brooms and mops,Machinery,2014,69231448,9182878,3.166661262512207,0.508829653263092,0.8809846490621567,0
9604,Hand sieves and riddles,Machinery,2014,7119.10791015625,128947,0.05058702081441879,0.09446834772825241,0.9029452502727509,0.8850283026695251
9605,Travel sets,Machinery,2014,0,45997,0,-2.1616382598876953,0.9082991629838943,0.40923619270324707
9606,Buttons,Machinery,2014,15368.6787109375,358699,0.0032872138544917107,-0.0007028885302133858,0.8969537243247032,0.8390023112297058
9607,Slide fasteners,Machinery,2014,58431.265625,4731635,0.009090241976082325,0.7792829275131226,0.8871322348713875,0.6742527484893799
9608,Pens,Machinery,2014,317752.59375,1637334,0.02092413604259491,1.5496041774749756,0.8831105977296829,0.9731191992759705
9609,"Pencils, crayons, pastels, etc.",Machinery,2014,12631.3916015625,236014,0.00305924192070961,0.5770246982574463,0.8833704069256783,0.6023867130279541
9610,"Slates and boards, with writing or drawing surfaces",Machinery,2014,1293390.25,543787,0.8771299123764038,1.947935938835144,0.8931481465697289,0.6178159713745117
9611,Hand-operated stamps,Machinery,2014,3195.45556640625,165746,0.004224748350679874,1.9773228168487549,0.8971821218729019,0.8059335350990295
9612,Typewriter ribbons and ink pads,Machinery,2014,587028.0625,6926514,0.12232041358947754,2.001115083694458,0.8859990760684013,1.3429919481277466
9613,Cigarette lighters,Machinery,2014,75383.8359375,554238,0.016525836661458015,0.6451822519302368,0.8933132290840149,0.5834255814552307
9614,Smoking pipes,Machinery,2014,0,0,0,0.17308582365512848,0.9097177982330322,0.32711923122406006
9615,"Combs, hair-slides etc of hard rubber or plastic",Machinery,2014,660046.25,265839,0.1544630527496338,-0.37938013672828674,0.8869416266679764,0.30411648750305176
9616,Scent sprayers,Machinery,2014,24132.8671875,50393,0.007976704277098179,2.0407702922821045,0.904596358537674,1.2480467557907104
9617,Vacuum vessels,Machinery,2014,57701.00390625,91393,0.013802038505673409,-0.21719396114349365,0.8866068944334984,0.2646625339984894
9618,Mannequins,Machinery,2014,18245852,228137,9.409595489501953,0.7586604356765747,0.8916074335575104,0
9701,Paintings and drawings,Textiles and furniture,2014,8663.29296875,56503,0.00018605956574901938,2.5042781829833984,0.9189305379986763,1.4793771505355835
9702,Original engravings,Textiles and furniture,2014,0,0,0,3.518117666244507,0.9115583524107933,1.161741852760315
9703,Sculptures,Textiles and furniture,2014,100662.453125,50000,0.009672590531408787,1.4671313762664795,0.9146138429641724,1.0318690538406372
9704,Postage or revenue stamps,Textiles and furniture,2014,1328.8499755859375,0,0.004106834996491671,0.864138126373291,0.9024849012494087,0.9037674069404602
9705,Collectors pieces,Textiles and furniture,2014,0,18578,0,-0.20693151652812958,0.9127467125654221,0.7808100581169128
9706,Antiques >100 years,Textiles and furniture,2014,122014.40625,0,0.013621491380035877,-0.8618319034576416,0.9117641225457191,0.6695284843444824
