"hs4","color","product_id"
"7323","#702500",863
"7324","#702500",864
"7325","#702500",865
"7326","#702500",866
"7401","#702500",867
"7402","#702500",868
"7403","#702500",869
"7404","#702500",870
"7405","#702500",871
"7406","#702500",872
"7407","#702500",873
"7408","#702500",874
"7409","#702500",875
"7410","#702500",876
"7411","#702500",877
"7412","#702500",878
"7413","#702500",879
"7414","#702500",880
"7415","#702500",881
"7416","#702500",882
"7417","#702500",883
"7418","#702500",884
"7419","#702500",885
"7501","#702500",886
"7502","#702500",887
"7503","#702500",888
"7504","#702500",889
"7505","#702500",890
"7506","#702500",891
"7507","#702500",892
"7508","#702500",893
"7601","#702500",894
"7602","#702500",895
"7603","#702500",896
"7604","#702500",897
"7605","#702500",898
"7606","#702500",899
"7607","#702500",900
"7608","#702500",901
"7609","#702500",902
"7610","#702500",903
"7611","#702500",904
"7612","#702500",905
"7613","#702500",906
"7614","#702500",907
"7615","#702500",908
"7616","#702500",909
"7801","#702500",910
"7802","#702500",911
"7803","#702500",912
"7804","#702500",913
"7805","#702500",914
"7806","#702500",915
"7901","#702500",916
"7902","#702500",917
"7903","#702500",918
"7904","#702500",919
"7905","#702500",920
"7906","#702500",921
"7907","#702500",922
"8001","#702500",923
"8002","#702500",924
"8003","#702500",925
"8004","#702500",926
"8005","#702500",927
"8006","#702500",928
"8007","#702500",929
"8101","#702500",930
"8102","#702500",931
"8103","#702500",932
"8104","#702500",933
"8105","#702500",934
"8106","#702500",935
"8107","#702500",936
"8108","#702500",937
"8109","#702500",938
"8110","#702500",939
"8111","#702500",940
"8112","#702500",941
"8113","#702500",942
"8201","#702500",943
"8202","#702500",944
"8203","#702500",945
"8204","#702500",946
"8205","#702500",947
"8206","#702500",948
"8207","#702500",949
"8208","#702500",950
"8209","#702500",951
"8210","#702500",952
"8211","#702500",953
"8212","#702500",954
"8213","#702500",955
"8214","#702500",956
"8215","#702500",957
"8301","#702500",958
"8302","#702500",959
"8303","#702500",960
"8304","#702500",961
"8305","#702500",962
"8306","#702500",963
"8307","#702500",964
"8308","#702500",965
"8309","#702500",966
"8310","#702500",967
"8311","#702500",968
"8401","#53bdff",969
"8402","#53bdff",970
"8403","#53bdff",971
"8404","#53bdff",972
"8405","#53bdff",973
"8406","#53bdff",974
"8407","#53bdff",975
"8408","#53bdff",976
"8409","#53bdff",977
"8410","#53bdff",978
"8411","#53bdff",979
"8412","#53bdff",980
"8413","#53bdff",981
"8414","#53bdff",982
"8415","#53bdff",983
"8416","#53bdff",984
"8417","#53bdff",985
"8418","#53bdff",986
"8419","#53bdff",987
"8420","#53bdff",988
"8421","#53bdff",989
"8422","#53bdff",990
"8423","#53bdff",991
"8424","#53bdff",992
"8425","#53bdff",993
"8426","#53bdff",994
"8427","#53bdff",995
"8428","#53bdff",996
"8429","#53bdff",997
"8430","#53bdff",998
"8431","#53bdff",999
"8432","#53bdff",1000
"8433","#53bdff",1001
"8434","#53bdff",1002
"8435","#53bdff",1003
"8436","#53bdff",1004
"8437","#53bdff",1005
"8438","#53bdff",1006
"8439","#53bdff",1007
"8440","#53bdff",1008
