Code,Export,Parent,Year,"Exports, US$","Imports, US$",Revealed comparative advantage,Complexity,Distance,Opportunity gain
7403,Refined copper and copper alloys,Metals,2014,3056977.25,6725617.5,0.034124668687582016,-0.8865011930465698,0.8639441281557083,0.26649078726768494
7404,Copper waste and scrap,Metals,2014,131382736,15168690,3.642836093902588,-1.01520836353302,0.8427391201257706,0
7405,Master alloys of copper,Metals,2014,0,2941538.75,0,1.1396727561950684,0.8561132252216339,0.8692250847816467
7406,Copper powders and flakes,Metals,2014,37451.90625,2923821,0.02929725870490074,2.3165009021759033,0.8483880013227463,1.1499216556549072
7407,"Copper bars, rods and profiles",Metals,2014,65958536,5864369,7.826271057128906,1.1482924222946167,0.8528510481119156,0
7408,Copper wire,Metals,2014,20157974,13885096,0.6985878348350525,0.34571829438209534,0.8425399214029312,0.5188300609588623
7409,"Copper plates, sheets and strip > 0.15 mm",Metals,2014,46100992,5274474.5,4.606014251708984,1.2053146362304688,0.8528472036123276,0
7410,Copper foil < 0.15 mm thick,Metals,2014,9054484,272711.28125,1.5973256826400757,1.4803235530853271,0.8744197338819504,0
7411,Copper tubes and pipes,Metals,2014,140776368,12239250,15.919797897338867,1.2271414995193481,0.8529039323329926,0
7412,Copper tube or pipe fittings,Metals,2014,4970637.5,23905896,0.8345082998275757,2.67560076713562,0.852850928902626,1.2280030250549316
7413,"Copper wire, uninsulated",Metals,2014,1957206.75,1937876.375,0.7652145624160767,1.0706266164779663,0.8454182744026184,0.7747910618782043
7414,Endless bands of copper wire for machinery,Metals,2014,0,0,0,1.8990107774734497,0.8573936969041824,0.8351103067398071
7415,Nails and similar articles of copper,Metals,2014,376691.65625,2533716.5,0.2708454430103302,3.096803903579712,0.8584916442632675,1.4265162944793701
7416,Copper springs,Metals,2014,0,0,0,-0.7387847900390625,0.8818855658173561,0.20710232853889465
7417,Copper cooking products,Metals,2014,0,0,0,1.8495975732803345,0.8859649747610092,0.25777092576026917
7418,Household articles of copper,Metals,2014,203052,1401096,0.19165179133415222,0.8644609451293945,0.8621010482311249,0.8019536137580872
7419,Other articles of copper,Metals,2014,9074436,3319265,1.7776278257369995,3.022797107696533,0.8495727330446243,0
7501,Nickel mattes,Metals,2014,17898.134765625,0,0.0019419060554355383,-2.882753849029541,0.8887525498867035,0.06538058817386627
7502,Nickel unwrought,Metals,2014,0,17988570,0,-0.03056195378303528,0.875321164727211,0.3899707496166229
7503,Nickel waste and scrap,Metals,2014,159818.8125,0,0.13130922615528107,1.377758264541626,0.8463271260261536,1.0054113864898682
7504,Nickel powders,Metals,2014,0,1108154.5,0,1.92594313621521,0.8540647178888321,0.8000643253326416
7505,"Nickel bars, wire etc.",Metals,2014,14191.845703125,4811504.5,0.003389762481674552,2.0381789207458496,0.8475165218114853,1.3920097351074219
7506,Nickel plates,Metals,2014,2080,3076480.25,0.0010504097444936633,2.357816219329834,0.8479909151792526,1.3161932229995728
7507,Nickel tubes and pipes,Metals,2014,0,786968.875,0,4.768974781036377,0.8472306728363037,1.5946000814437866
7508,Other articles of nickel,Metals,2014,343806.21875,2303921.25,0.16969631612300873,2.002502202987671,0.8533108681440353,1.0345557928085327
7601,Unwrought aluminum,Metals,2014,493050.03125,36559088,0.006848334800451994,-0.874458909034729,0.8614816963672638,0.12235622107982635
7602,"Waste or scrap, aluminium",Metals,2014,24703466,182772.625,1.3220971822738647,-0.6175994873046875,0.8419880121946335,0
7603,Aluminum powders,Metals,2014,7655.72509765625,1005206.5625,0.008632970042526722,1.6163196563720703,0.8506268858909607,0.9610854387283325
7604,Aluminum bars,Metals,2014,546702.4375,10704183,0.02586844563484192,0.8218204379081726,0.8430249392986298,0.7188941240310669
7605,Aluminum wire,Metals,2014,1888382.125,2749460.75,0.3475487232208252,0.3970402777194977,0.8456218540668488,0.5619567036628723
7606,Aluminum plates > 0.2 mm,Metals,2014,2778124.75,263802608,0.07029654085636139,2.125798225402832,0.8405704349279404,1.0303443670272827
7607,Aluminum foil < 0.2 mm,Metals,2014,933399.6875,19582042,0.05467037111520767,2.816995143890381,0.8386800736188889,1.280538558959961
7608,Aluminum tubes and pipes,Metals,2014,164147.09375,12008611,0.045480601489543915,2.338918924331665,0.8362298607826233,1.1714775562286377
7609,Aluminum tube or pipe fittings,Metals,2014,4910430.5,7061862,4.389990329742432,2.2446765899658203,0.8369963616132736,0
7610,"Aluminum structures (bridges, towers etc)",Metals,2014,149954.25,2817679.25,0.010664358735084534,1.1998746395111084,0.8430767953395844,0.8287255764007568
7611,"Aluminum containers, >300 liters",Metals,2014,0,2412.10009765625,0,1.8036458492279053,0.8386544436216354,0.9246220588684082
7612,"Aluminum containers, <300 liters",Metals,2014,16523724,9925737,2.5216875076293945,1.6522389650344849,0.8337962925434113,0
7613,Aluminum containers for compressed or liquefied gas,Metals,2014,24473.84375,1158306.5,0.03296686336398125,2.4342174530029297,0.8397052139043808,1.1620151996612549
7614,"Aluminum wire, not insulated",Metals,2014,9057310,121313.953125,3.8510706424713135,0.04390118643641472,0.8438205569982529,0
7615,Household articles of aluminum,Metals,2014,2448372.25,13313528,0.3803347051143646,0.24537692964076996,0.8600126653909683,0.47661978006362915
7616,Other articles of aluminum,Metals,2014,36884220,60027460,1.889021396636963,1.8245913982391357,0.8403360545635223,0
7801,Lead refined unwrought,Metals,2014,2778493.75,89186.4453125,0.3045535683631897,-1.8799712657928467,0.8470737785100937,0.0158536359667778
7802,Lead waste or scrap,Metals,2014,0,0,0,-1.0363783836364746,0.8485987484455109,0.197542205452919
7803,"Lead bars, rods, profiles and wire",Metals,2014,0,0,0,3.4417645931243896,0.8688533157110214,0.3589397370815277
7804,Lead foil <2mm,Metals,2014,6796.95263671875,41951.66015625,0.014395548962056637,0.45293858647346497,0.8444379419088364,0.562455952167511
7805,"Lead tubes, pipes and fittings",Metals,2014,0,0,0,6.600747585296631,0.8685633093118668,0.5379070043563843
7806,Other articles of lead,Metals,2014,171557.1875,561568.25,0.34781384468078613,0.05331956222653389,0.8360392153263092,0.6065341234207153
7901,Unwrought zinc,Metals,2014,265016.03125,11643760,0.01695442385971546,0.06571702659130096,0.8494447618722916,0.4402782917022705
7902,Zinc waste and scrap,Metals,2014,0,0,0,-0.044240064918994904,0.838110014796257,0.4727380573749542
7903,Zinc powders,Metals,2014,4016452.25,208786.96875,6.328773498535156,0.3040456771850586,0.8540758490562439,0
7904,Zinx bars and wire,Metals,2014,6273.921875,42361.71875,0.010679546743631363,1.1130092144012451,0.8438027203083038,0.8777620196342468
7905,Zinc plates and foil,Metals,2014,0,161347.21875,0,2.5399858951568604,0.8445934653282166,0.9531682729721069
7906,"Zinc tubes, pipes and tube or pipe fittings",Metals,2014,0,0,0,0.6804625988006592,0.8700447976589203,0.6798290014266968
7907,Other articles of zinc,Metals,2014,1771341.75,3989658.5,1.0377849340438843,1.4225050210952759,0.8461909294128418,0
8001,Unwrought tin,Metals,2014,0,1675331.875,0,-0.526599645614624,0.8687223643064499,0.09699399769306183
8002,Tin waste and scrap,Metals,2014,0,0,0,1.100502848625183,0.8432615101337433,0.9024927020072937
8003,Tin bars and wire,Metals,2014,72689.390625,742878.125,0.0429375022649765,0.5217217803001404,0.8517272025346756,0.5347689390182495
8004,"Tin plates, sheets and strips, thickness > 0.2 mm",Metals,2014,0,0,0,-0.1998468041419983,0.8803380578756332,0.28220102190971375
8005,"Tin foil, thickness < 0.2 mm",Metals,2014,0,0,0,1.820842981338501,0.8538317531347275,0.6141508221626282
8006,Tin pipes or tubes and pipe fittings,Metals,2014,0,0,0,-2.2484428882598877,0.8846096396446228,0.47282564640045166
8007,Other articles of tin,Metals,2014,0,103794.7890625,0,0.9208045601844788,0.8558606952428818,0.7056285738945007
8101,Tungsten (wolfram),Metals,2014,2775172.25,2598310.75,1.6372944116592407,2.799168109893799,0.8469742387533188,0
8102,Molybdenum,Metals,2014,0,4436269,0,2.3688693046569824,0.8614758551120758,1.1912108659744263
8103,Tantalum,Metals,2014,0,19414.44921875,0,2.4814538955688477,0.8529002517461777,1.135245442390442
8104,Magnesium,Metals,2014,796072.875,848280.4375,0.32271167635917664,2.6042797565460205,0.8635501265525818,0.8415960669517517
8105,Cobalt,Metals,2014,0,378117.78125,0,0.05678727477788925,0.8523472994565964,0.531477153301239
8106,Bismuth,Metals,2014,0,221668.328125,0,0.7401907444000244,0.8536866307258606,0.5311378240585327
8107,Cadmium,Metals,2014,0,0,0,1.0952500104904175,0.8464111238718033,0.8540610074996948
8108,Titanium,Metals,2014,0,625523.1875,0,1.7839081287384033,0.8606373220682144,0.9682344198226929
8109,Zirconium,Metals,2014,0,28985.912109375,0,2.8560733795166016,0.8459854125976562,0.9520164132118225
8110,Antimony,Metals,2014,2378155.25,55834.30859375,3.6881444454193115,-2.01365327835083,0.9030508100986481,0
8111,Manganese,Metals,2014,0,442082.0625,0,0.635333776473999,0.8873960450291634,0.36833980679512024
8112,Other metals,Metals,2014,0,744930.0625,0,0.9756869077682495,0.8605525642633438,0.6354730725288391
8113,Cermets,Metals,2014,0,995509.75,0,4.964395523071289,0.851312980055809,1.369133710861206
8201,Handtools for gardening,Metals,2014,35231.078125,6539353,0.016298891976475716,0.8591151237487793,0.8398994356393814,0.759303092956543
8202,Handsaws,Metals,2014,49900.61328125,16681669,0.009188346564769745,3.42838978767395,0.8514009267091751,1.5536999702453613
