id	name_3char	name_en
121	LCN	Latin America & Caribbean (all income levels)
122	LDC	Least developed countries: UN classification
123	LIC	Low income
124	LIE	Liechtenstein
125	LKA	Sri Lanka
126	LMC	Lower middle income
127	LMY	Low & middle income
128	LSO	Lesotho
129	LTU	Lithuania
130	LUX	Luxembourg
131	LVA	Latvia
132	MAC	Macao
133	MAR	Morocco
134	MCO	Monaco
135	MDA	Moldova
136	MDG	Madagascar
137	MDV	Maldives
138	MEA	Middle East & North Africa (all income levels)
139	MEX	Mexico
140	MHL	Marshall Islands
141	MIC	Middle income
142	MKD	Macedonia
143	MLI	Mali
144	MLT	Malta
145	MMR	Myanmar
146	MNA	Middle East & North Africa (developing only)
147	MNE	Montenegro
148	MNG	Mongolia
149	MNP	Northern Mariana Islands
150	MOZ	Mozambique
151	MRT	Mauritania
152	MUS	Mauritius
153	MWI	Malawi
154	MYS	Malaysia
155	MYT	Mayotte
156	NAC	North America
157	NAM	Namibia
158	NCL	New Caledonia
159	NER	Niger
160	NGA	Nigeria
161	NIC	Nicaragua
162	NLD	Netherlands
163	NOC	High income: nonOECD
164	NOR	Norway
165	NPL	Nepal
166	NZL	New Zealand
167	OEC	High income: OECD
168	OMN	Oman
169	PAK	Pakistan
170	PAN	Panama
171	PER	Peru
172	PHL	Philippines
173	PLW	Palau
174	PNG	Papua New Guinea
175	POL	Poland
176	PRI	Puerto Rico
177	PRK	Korea, Dem. Rep.
178	PRT	Portugal
179	PRY	Paraguay
180	PYF	French Polynesia
181	QAT	Qatar
182	ROU	Romania
183	RUS	Russia
184	RWA	Rwanda
185	SAS	South Asia
186	SAU	Saudi Arabia
187	SDN	Sudan
188	SEN	Senegal
189	SGP	Singapore
190	SLB	Solomon Islands
191	SLE	Sierra Leone
192	SLV	El Salvador
193	SMR	San Marino
194	SOM	Somalia
195	SRB	Serbia
196	SSA	Sub-Saharan Africa (developing only)
197	SSF	Sub-Saharan Africa (all income levels)
198	STP	Sao Tome and Principe
199	SUR	Suriname
200	SVK	Slovak Republic
201	SVN	Slovenia
202	SWE	Sweden
203	SWZ	Swaziland
204	SYC	Seychelles
205	SYR	Syrian Arab Republic
206	TCA	Turks and Caicos Islands
207	TCD	Chad
208	TGO	Togo
209	THA	Thailand
210	TJK	Tajikistan
211	TKM	Turkmenistan
212	TLS	Timor-Leste
213	TON	Tonga
214	TTO	Trinidad and Tobago
215	TUN	Tunisia
216	TUR	Turkey
217	TUV	Tuvalu
218	TZA	Tanzania
219	UGA	Uganda
220	UKR	Ukraine
221	UMC	Upper middle income
222	URY	Uruguay
223	USA	United States
224	UZB	Uzbekistan
225	VCT	St. Vincent and the Grenadines
226	VEN	Venezuela
227	VIR	Virgin Islands, U.S.
228	VNM	Viet Nam
229	VUT	Vanuatu
230	WBG	West Bank and Gaza
231	WLD	World
232	WSM	Samoa
233	YEM	Yemen
234	ZAF	South Africa
235	COD	Congo, Dem. Rep.
236	ZMB	Zambia
237	ZWE	Zimbabwe
238	YUG	Yugoslavia, Fm
239	DDR	Germany, Democratic Republic of
240	FDR	Germany, Federal Republic of
241	TWN	Taiwan
242	BLX	Belgium-Luxembourg
243	SUN	USSR, Fm
244	NULL	Fr Ind O
245	SPM	Saint Pierre and Miquelon
246	GLP	Guadeloupe
247	GUF	French Guiana
248	NULL	US NES
249	YMD	Fm Yemen Dm
250	YAR	Fm Yemen AR
251	XXG	Asia NES
252	XXA	Areas NES
253	SHN	St. Helena
254	NULL	Afr.Other NS
255	XXB	CACM NES
256	NULL	Br.Antr.Terr
257	XXJ	Asia West NS
258	FLK	Falkland Islands
